userName,content,score
Pengguna Google,Permintaan anda Belum dapat di proses terus,2
Pengguna Google,"Tolong Aplikasinya DIBENAHI !!! ambil antrian saja loding terus, sy menunggu sampai 5 jam masih tetap begitu padahal WIFI stabil.... ini aplikasi untuk orang sakit ... jangan dibuat susah, cuman karena aplikasi yg tidak berguna. kita kerumah sakit berangkat pagi pulang malam karena tidak dapat nomer antri. harusnya dengan adanya aplikasi ini bisa lebih mudah.",1
Pengguna Google,sekarang sering eror,5
Pengguna Google,sangat memudahkan,4
Pengguna Google,"udah masuk tapi masuk ke info akses menunya tidak masuk-masuk selalu loading mulu,apa lagi mau daftar dan mau ambil antrian nungguin sampai lama banget kagak masuk-masuk ke menu dan sampai kelewat jadwal tanggal periksa. Internetnya pake jaringan wifi kagak masuk-masuk pake jaringan data kuota kagak masuk-masuk,,kalau aplikasinya kagak bener kagak bagus dan jelek kayak gini terus mendingan hapus hilangkan saja aplikasi ini dari internet dan play store 😠😠",1
Pengguna Google,aplikasi nggk pernah di rawat,1
Pengguna Google,"tolong dnk diperbaiki masa saat update akunnya keluar saat mau masuk ke apk jln sih???, jdi kecewa saya",3
Pengguna Google,"knpa harus masukan kode referral juga,",1
Pengguna Google,semakin baik,5
Pengguna Google,apk sampah yang mempersulit pengobatan,1
Pengguna Google,seperti biasanya bagus,5
Pengguna Google,"Parah bgt, gatau yang salah dari aplikasinya apa dari sistem rsnya, udah begadang buat war jadwal kontrol dokter gigi, giliran udah jam 12 aplikasinya malah suka error, trus gabisa daftar. Akhirnya kontrol jadi telat dan PSA harus ngulang dari awal. Gajelas bgt aplikasinya",1
Pengguna Google,"Data di KTP & KK sudah sesuai yang tercetak, tapi keterangan pada aplikasi dinyatakan tanggal lahir tidak sesuai dukcapil.",1
Pengguna Google,ok,5
Pengguna Google,Aplikasi sangat membantu sekali,5
Pengguna Google,baguss,4
Pengguna Google,good,5
Pengguna Google,terbaikk,5
Pengguna Google,simple dan bermutu,5
Pengguna Google,mantap,5
Pengguna Google,Puas Sekali,5
Pengguna Google,pelayanan digital sangat baik,5
Pengguna Google,Mobile JKN ga bisa dibuka kenapa ya ?,4
Pengguna Google,saya suka mjkn untuk kontrol ke rsi aisyiah malang,5
Pengguna Google,dengan aplikasi mobile jkn ini sangat membantu sekali,4
Pengguna Google,sanggat membantu,5
Pengguna Google,good,4
Pengguna Google,"terimakasih developer. Dengan adanya aplikasi ini sangat membantu sekali, jika ingin melakukan perubahan data, sperti faskes 1, kita ga perlu repot-repot datang ke kantor BPJS dan mengantri Berjam-jam. 🏥😊👍. syang sekali untuk poli gigi, khususnya SCALING' tidak dpt dicover. 😔",5
Pengguna Google,pendaftarannya masih sulit..keterangannya tidak respon..tolong diperbaiki lagi kinerja aplikasinya biar lebih mudah untuk daftar &menentukan jadwal kunjungan ke rumah sakit rujukan,3
Pengguna Google,mantap,5
Pengguna Google,good,5
Pengguna Google,kenapa ya per Desember ini nyoba buka aplikasinya di 1 device dengan 1 akun tidak bisa lagi buka semua nama anggota keluarga. hanya atas nama 1 orang saja di 1 akun aplikasi yg bisa dibuka nomor BPJS nya. padahal sebelumnya semua anggota keluarga bisa di buka di 1 aplikasi 1 device.??,4
Pengguna Google,sangat membantu,5
Pengguna Google,lebih suka sekarang ada call center ygbdapat dihub secara gratis,5
Pengguna Google,"aplikasi gak jelas susah bnget daftar online, bisa bikin apk gk si? sekelas BPJS lho",1
Pengguna Google,bagus sekali,5
Pengguna Google,sangat membantu,5
Pengguna Google,"aplikasi setiap di buka loading terus,g bisa2, uda di update tetap aja begitu trs,g niat buat aplikasi.",1
Pengguna Google,makin mudah terimkasih,5
Pengguna Google,"Update versi terbaru lancar2 saja aplikasinya,mau login, lupa pasword pengisianya pasword baru kalo mengikuti aturannya jg mudah dan ada petunjuknya biar aman,ada huruf besar,huruf kecil. Saran saja agar diupdate dokter/faskes yg sdh tdk bekerja sama dgn bpjs,karena msh tertera di daftar padahal sdh pindah jauh/wafat. Mksh",5
Pengguna Google,nyebelin... ntah kenapa daah beberapa kali akun krluar sendiri pas dibutuhkan.. padahal gak pernah sengaja log in.. ribet masuk ulang kalo nomor n email terdaftaf lupa,5
Pengguna Google,fast respon,5
Pengguna Google,kode otp ga jelas bgt ga ada sms sama sekali!,1
Pengguna Google,good,5
Pengguna Google,bgus dn rapi,5
Pengguna Google,"baguuus ,mudah digunakan",5
Pengguna Google,mantap jiwa,5
Pengguna Google,setiap kali daftar di antrian faskes satu...selalu gagal dan bilang belum bisa...hadehh aneh,2
Pengguna Google,Alhamdulillah sangat membantu sekali dan saya sangat brsyukur .. Trmksh. 😊🙏,5
Pengguna Google,terimakasih aplikasi mobile jkn sangat membantu dan mempermudah pelayanan,4
Pengguna Google,"faskes 1,, tidak lengkap",5
Pengguna Google,lebih ditingkatkan lagi,5
Pengguna Google,mantap,5
Pengguna Google,"Aplikasi kurang sempurna, banyak bug. so bad.",1
Pengguna Google,mantaf lanjutkan,5
Pengguna Google,aduh kenapa ini keluar terus saya mau ambil antrian tapi tidak bisa masuk aplikasi 😭,2
Pengguna Google,good,5
Pengguna Google,bisa membantu dengan baik,5
Pengguna Google,"aplikasi sangat membantu, Tapi kebijakaannya d rubah tidak bisa screenshoot layar . Jadi susah mau ngasih No antrian ke orang tua. a",3
Pengguna Google,tidak bisa login akun,2
Pengguna Google,terbaik,5
Pengguna Google,PELAYANAN LAMA SEHARIAN,1
Pengguna Google,"Login susah,katanya sudah terdaftar dicoba berulang ulang susahnya minta ampun,aplikasi sampah.",1
Pengguna Google,mantaaaap. cepet,5
Pengguna Google,"aplikasi ini tidak membantu peserta/pasien yang akan mendaftarkan diri, sulit di pahami SULIT MASUK SULIT DAFTAR, NOMOR-NOMOR YG DI SEDIAKAN TDK BISA DI TLPN, PERCUMA ADANYA APLIKASI INI. TIDAK MENEMUKAN SOLUSI.",1
Pengguna Google,bagus sangat berguna👍,5
Pengguna Google,Sangat bagus sekali,5
Pengguna Google,selama ini oke gak ada masalah dan sangat membantu,5
Pengguna Google,puas banget,5
